Age Range,Download Dt,Name,Platform,Count Rides,Step,Users Count
18-24,02-01-2021,download,android,0,0,2
18-24,04-01-2021,download,android,0,0,3
18-24,05-01-2021,download,android,0,0,1
18-24,06-01-2021,download,android,0,0,1
18-24,07-01-2021,download,android,0,0,1
18-24,08-01-2021,download,android,0,0,3
18-24,09-01-2021,download,android,0,0,3
18-24,10-01-2021,download,android,0,0,2
18-24,11-01-2021,download,android,0,0,1
18-24,12-01-2021,download,android,0,0,4
18-24,14-01-2021,download,android,0,0,2
18-24,15-01-2021,download,android,0,0,3
18-24,16-01-2021,download,android,0,0,4
18-24,17-01-2021,download,android,0,0,1
18-24,18-01-2021,download,android,0,0,3
18-24,19-01-2021,download,android,0,0,3
18-24,20-01-2021,download,android,0,0,4
18-24,21-01-2021,download,android,0,0,2
18-24,22-01-2021,download,android,0,0,1
18-24,23-01-2021,download,android,0,0,2
18-24,26-01-2021,download,android,0,0,2
18-24,28-01-2021,download,android,0,0,2
18-24,29-01-2021,download,android,0,0,3
18-24,30-01-2021,download,android,0,0,2
18-24,31-01-2021,download,android,0,0,4
18-24,01-02-2021,download,android,0,0,1
18-24,03-02-2021,download,android,0,0,2
18-24,04-02-2021,download,android,0,0,1
18-24,05-02-2021,download,android,0,0,1
18-24,06-02-2021,download,android,0,0,1
18-24,07-02-2021,download,android,0,0,4
18-24,09-02-2021,download,android,0,0,1
18-24,10-02-2021,download,android,0,0,2
18-24,12-02-2021,download,android,0,0,1
18-24,13-02-2021,download,android,0,0,3
18-24,14-02-2021,download,android,0,0,2
18-24,15-02-2021,download,android,0,0,2
18-24,17-02-2021,download,android,0,0,2
18-24,18-02-2021,download,android,0,0,2
18-24,19-02-2021,download,android,0,0,2
18-24,20-02-2021,download,android,0,0,3
18-24,21-02-2021,download,android,0,0,4
18-24,22-02-2021,download,android,0,0,1
18-24,24-02-2021,download,android,0,0,1
18-24,25-02-2021,download,android,0,0,2
18-24,26-02-2021,download,android,0,0,2
18-24,27-02-2021,download,android,0,0,3
18-24,28-02-2021,download,android,0,0,1
18-24,01-03-2021,download,android,0,0,1
18-24,02-03-2021,download,android,0,0,2
18-24,06-03-2021,download,android,0,0,2
18-24,07-03-2021,download,android,0,0,1
18-24,09-03-2021,download,android,0,0,3
18-24,11-03-2021,download,android,0,0,3
18-24,12-03-2021,download,android,0,0,1
18-24,16-03-2021,download,android,0,0,1
18-24,17-03-2021,download,android,0,0,4
18-24,18-03-2021,download,android,0,0,2
18-24,19-03-2021,download,android,0,0,1
18-24,20-03-2021,download,android,0,0,2
18-24,21-03-2021,download,android,0,0,1
18-24,22-03-2021,download,android,0,0,3
18-24,24-03-2021,download,android,0,0,1
18-24,25-03-2021,download,android,0,0,2
18-24,26-03-2021,download,android,0,0,5
18-24,30-03-2021,download,android,0,0,2
18-24,31-03-2021,download,android,0,0,2
18-24,03-04-2021,download,android,0,0,1
18-24,04-04-2021,download,android,0,0,1
18-24,07-04-2021,download,android,0,0,3
18-24,09-04-2021,download,android,0,0,2
18-24,10-04-2021,download,android,0,0,2
18-24,11-04-2021,download,android,0,0,1
18-24,12-04-2021,download,android,0,0,1
18-24,13-04-2021,download,android,0,0,2
18-24,14-04-2021,download,android,0,0,1
18-24,15-04-2021,download,android,0,0,3
18-24,16-04-2021,download,android,0,0,5
18-24,17-04-2021,download,android,0,0,2
18-24,18-04-2021,download,android,0,0,1
18-24,20-04-2021,download,android,0,0,1
18-24,22-04-2021,download,android,0,0,3
18-24,23-04-2021,download,android,0,0,1
18-24,24-04-2021,download,android,0,0,1
18-24,25-04-2021,download,android,0,0,1
18-24,26-04-2021,download,android,0,0,3
18-24,27-04-2021,download,android,0,0,2
18-24,28-04-2021,download,android,0,0,1
18-24,01-05-2021,download,android,0,0,1
18-24,02-05-2021,download,android,0,0,4
18-24,04-05-2021,download,android,0,0,3
18-24,07-05-2021,download,android,0,0,3
18-24,08-05-2021,download,android,0,0,2
18-24,09-05-2021,download,android,0,0,2
18-24,13-05-2021,download,android,0,0,1
18-24,14-05-2021,download,android,0,0,2
18-24,15-05-2021,download,android,0,0,2
18-24,16-05-2021,download,android,0,0,2
18-24,18-05-2021,download,android,0,0,2
18-24,19-05-2021,download,android,0,0,1
18-24,20-05-2021,download,android,0,0,1
18-24,21-05-2021,download,android,0,0,1
18-24,23-05-2021,download,android,0,0,2
18-24,24-05-2021,download,android,0,0,1
18-24,28-05-2021,download,android,0,0,2
18-24,29-05-2021,download,android,0,0,1
18-24,30-05-2021,download,android,0,0,2
18-24,31-05-2021,download,android,0,0,1
18-24,03-06-2021,download,android,0,0,3
18-24,04-06-2021,download,android,0,0,1
18-24,05-06-2021,download,android,0,0,3
18-24,06-06-2021,download,android,0,0,1
18-24,07-06-2021,download,android,0,0,4
18-24,08-06-2021,download,android,0,0,2
18-24,09-06-2021,download,android,0,0,1
18-24,10-06-2021,download,android,0,0,2
18-24,12-06-2021,download,android,0,0,1
18-24,13-06-2021,download,android,0,0,2
18-24,15-06-2021,download,android,0,0,2
18-24,16-06-2021,download,android,0,0,2
18-24,17-06-2021,download,android,0,0,4
18-24,18-06-2021,download,android,0,0,3
18-24,19-06-2021,download,android,0,0,1
18-24,20-06-2021,download,android,0,0,1
18-24,21-06-2021,download,android,0,0,3
18-24,22-06-2021,download,android,0,0,5
18-24,24-06-2021,download,android,0,0,1
18-24,25-06-2021,download,android,0,0,2
18-24,26-06-2021,download,android,0,0,1
18-24,27-06-2021,download,android,0,0,2
18-24,28-06-2021,download,android,0,0,2
18-24,29-06-2021,download,android,0,0,2
18-24,30-06-2021,download,android,0,0,1
18-24,01-07-2021,download,android,0,0,2
18-24,02-07-2021,download,android,0,0,2
18-24,03-07-2021,download,android,0,0,1
18-24,04-07-2021,download,android,0,0,1
18-24,07-07-2021,download,android,0,0,3
18-24,08-07-2021,download,android,0,0,1
18-24,09-07-2021,download,android,0,0,1
18-24,10-07-2021,download,android,0,0,2
18-24,12-07-2021,download,android,0,0,3
18-24,13-07-2021,download,android,0,0,2
18-24,14-07-2021,download,android,0,0,2
18-24,15-07-2021,download,android,0,0,2
18-24,16-07-2021,download,android,0,0,2
18-24,17-07-2021,download,android,0,0,4
18-24,18-07-2021,download,android,0,0,2
18-24,19-07-2021,download,android,0,0,2
18-24,20-07-2021,download,android,0,0,3
18-24,22-07-2021,download,android,0,0,2
18-24,24-07-2021,download,android,0,0,2
18-24,25-07-2021,download,android,0,0,2
18-24,26-07-2021,download,android,0,0,2
18-24,27-07-2021,download,android,0,0,2
18-24,28-07-2021,download,android,0,0,2
18-24,30-07-2021,download,android,0,0,1
18-24,31-07-2021,download,android,0,0,2
18-24,01-08-2021,download,android,0,0,1
18-24,02-08-2021,download,android,0,0,1
18-24,03-08-2021,download,android,0,0,2
18-24,09-08-2021,download,android,0,0,4
18-24,12-08-2021,download,android,0,0,1
18-24,13-08-2021,download,android,0,0,2
18-24,15-08-2021,download,android,0,0,2
18-24,16-08-2021,download,android,0,0,1
18-24,17-08-2021,download,android,0,0,1
18-24,18-08-2021,download,android,0,0,1
18-24,19-08-2021,download,android,0,0,3
18-24,21-08-2021,download,android,0,0,1
18-24,22-08-2021,download,android,0,0,2
18-24,23-08-2021,download,android,0,0,2
18-24,25-08-2021,download,android,0,0,1
18-24,26-08-2021,download,android,0,0,1
18-24,27-08-2021,download,android,0,0,1
18-24,29-08-2021,download,android,0,0,3
18-24,30-08-2021,download,android,0,0,1
18-24,01-09-2021,download,android,0,0,2
18-24,02-09-2021,download,android,0,0,5
18-24,04-09-2021,download,android,0,0,2
18-24,05-09-2021,download,android,0,0,1
18-24,06-09-2021,download,android,0,0,1
18-24,07-09-2021,download,android,0,0,3
18-24,09-09-2021,download,android,0,0,2
18-24,10-09-2021,download,android,0,0,1
18-24,12-09-2021,download,android,0,0,2
18-24,13-09-2021,download,android,0,0,1
18-24,15-09-2021,download,android,0,0,2
18-24,17-09-2021,download,android,0,0,1
18-24,18-09-2021,download,android,0,0,1
18-24,19-09-2021,download,android,0,0,2
18-24,20-09-2021,download,android,0,0,1
18-24,21-09-2021,download,android,0,0,3
18-24,22-09-2021,download,android,0,0,4
18-24,23-09-2021,download,android,0,0,2
18-24,24-09-2021,download,android,0,0,1
18-24,25-09-2021,download,android,0,0,2
18-24,26-09-2021,download,android,0,0,3
18-24,28-09-2021,download,android,0,0,3
18-24,29-09-2021,download,android,0,0,3
18-24,02-10-2021,download,android,0,0,2
18-24,03-10-2021,download,android,0,0,3
18-24,04-10-2021,download,android,0,0,1
18-24,05-10-2021,download,android,0,0,1
18-24,06-10-2021,download,android,0,0,1
18-24,07-10-2021,download,android,0,0,1
18-24,08-10-2021,download,android,0,0,2
18-24,09-10-2021,download,android,0,0,2
18-24,10-10-2021,download,android,0,0,3
18-24,11-10-2021,download,android,0,0,1
18-24,13-10-2021,download,android,0,0,2
18-24,14-10-2021,download,android,0,0,1
18-24,15-10-2021,download,android,0,0,1
18-24,18-10-2021,download,android,0,0,1
18-24,19-10-2021,download,android,0,0,1
18-24,20-10-2021,download,android,0,0,3
18-24,21-10-2021,download,android,0,0,2
18-24,22-10-2021,download,android,0,0,5
18-24,23-10-2021,download,android,0,0,2
18-24,24-10-2021,download,android,0,0,4
